-0.8,-0.45,-30
-0.8,0.45,30
-0.5,0,0
-0.5,0,45
0,0.5,-180
0,0.5,-90
0,0.5,0
0,0.5,60
0.5,0.9,-45
0.9,0.5,-180
0.9,0.5,-45
0.9,-0.6,-180
0.4,-0.9,-135
0.4,-0.9,120
0,-0.5,0
0,-0.5,90
0,-0.5,-180
0,-0.5,135
-0.5,0,0
